
 python3-pytest, 6.0.1, Apache
 python3-python-can, 3.3.4, GNU
 python3-pytz, 2023.3, MIT
 python3-pyyaml, 6.0, MIT
 python3-regex, 2021.8.28, Apache-2.0
 python3-requests, 2.27.1, Apache-2.0
 python3-setuptools, 67.4.0, MIT
 python3-simplegeneric, 0.8.1, ZPL-2.1
 python3-simplejson, 3.17.5, MIT
 python3-six, 1.16.0, MIT
 python3-smbus2, 0.3.0, MIT
 python3-smllib, 1.2, GPL-3.0-or-later
 python3-spidev, 3.6, MIT
 python3-systemd, 235, LGPL-2.1-or-later
 python3-text-unidecode, 1.3, ClArtistic
 python3-toml, 0.10.1, Apache
 python3-tornado, 6.4, Apache-2.0
 python3-traitlets, 4.1.0, BSD-3-Clause
 python3-transitions, 0.5.3, MIT
 python3-umodbus, 1.0.4, MPL-2.0
 python3-urllib3, 1.26.8, MIT
 python3-visitor, 0.1.3, MIT
 python3-websockets, 6.0, BSD
 python3-werkzeug, 2.2.3, BSD-3-Clause
 python3-wrapt, 1.12.1, BSD
 python3-wtforms, 2.3.3, BSD-3-Clause
 python3-yarl, 1.8.2, Apache-2.0
 python3-zipp, 3.7.0, MIT
 rauc, 1.11.3, LGPL-2.1-or-later
 rauc-hawkbit-updater, 1.2, LGPL-2.1-only
 rc-once, 1.0.0, ignore
 readline, 8.2, GPL-3.0-or-later
 root-data1, 0, ignore
 root-data2, 0, ignore
 root-mnt-sdcard, 0, ignore
 root-opt, 0, ignore
 rootfs, 1.0.0, ignore
 rsync3, 3.2.7, GPL-3.0-only
 screen, 4.9.1, GPL-2.0-or-later
 slang, 2.3.2, GPL-2.0-or-later
 socat, 1.7.3.2, GPL-2.0-only
 sqlite, 3400000, public_domain
 sqlitecpp, 2.4.0, MIT
 squashfs-tools, 4.5.1, GPL-2.0-or-later
 strace, 6.9, LGPL-2.1-or-later AND GPL-2.0-only WITH Linux-syscall-note
 strongswan, 5.9.14, GPL
 systemd, 256.1, GPL-2.0-or-later AND LGPL-2.1-only
 tcpdump, 4.99.4, BSD-3-Clause
 termcap, 1.3.1, GPL-2.0-only
 timezone, 1.0, public_domain
 usbip, 5.8, GPL-2.0-only
 usbutils, 017, GPL-2.0-only
 usr-rootfs, 1.0, ignore
 util-linux, 2.40, GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-or-later AND BSD-3-Clause AND BSD-4-Clause AND public_domain
 webconfig, 1.6.10, ignore
 wget, 1.21.3, GPL-3.0-or-later
 wireless, 30, GPL-2.0-only
 wpa_supplicant, 2.10, GPL-2.0-only
 xz, 5.4.4, public_domain AND LGPL-2.1-or-later AND GPL-2.0-or-later AND GPL-3.0-or-later
 zlib, 1.3.1, Zlib
